CREATE VIEW
id,filename,ref_count,sources
1006,elizabeth-console-3-drawes-cream.webp,2,products.seo_og_image_id; products_rels
470,elizabeth-console-vanity-mirror-cream.webp,2,products.seo_og_image_id; products_rels
487,elizabeth-console-vanity-mirror-gray.webp,1,products_rels
461,elizabeth-convertible-bed-teen-cream.webp,3,product_variants.image_id; products.seo_og_image_id; products_rels
478,elizabeth-convertible-bed-teen-gray.webp,2,product_variants.image_id; products_rels
462,elizabeth-double-bed-160-cream.webp,7,product_variants.image_id; products.seo_og_image_id; products_rels
479,elizabeth-double-bed-160-gray.webp,3,product_variants.image_id; products_rels
463,elizabeth-file-5-drawers-cream.webp,3,product_variants.image_id; products.seo_og_image_id; products_rels
480,elizabeth-file-5-drawers-gray.webp,2,product_variants.image_id; products_rels
464,elizabeth-loveseat-cream.webp,3,product_variants.image_id; products.seo_og_image_id; products_rels
481,elizabeth-loveseat-gray.webp,2,product_variants.image_id; products_rels
465,elizabeth-nightstand-cream.webp,3,product_variants.image_id; products.seo_og_image_id; products_rels
482,elizabeth-nightstand-gray.webp,2,product_variants.image_id; products_rels
466,elizabeth-single-bed-100-cream.webp,3,product_variants.image_id; products_rels
483,elizabeth-single-bed-100-gray.webp,3,product_variants.image_id; products_rels
467,elizabeth-single-bed-120-cream.webp,3,product_variants.image_id; products_rels
484,elizabeth-single-bed-120-gray.webp,3,product_variants.image_id; products_rels
468,elizabeth-standing-mirror-cream.webp,3,product_variants.image_id; products.seo_og_image_id; products_rels
485,elizabeth-standing-mirror-gray.webp,2,product_variants.image_id; products_rels
1007,elizabeth-study-desk-5-drawers-cream-v2.webp,3,product_variants.image_id; products.seo_og_image_id; products_rels
1008,elizabeth-study-desk-5-drawers-cream.webp,1,products_rels
1009,elizabeth-study-desk-5-drawers-gray-v2.webp,2,product_variants.image_id; products_rels
1010,elizabeth-study-desk-5-drawers-gray.webp,1,products_rels
469,elizabeth-study-desk-cream.webp,0,""
486,elizabeth-study-desk-gray.webp,1,products_rels
471,elizabeth-vanity-2-drawers-cream.webp,2,products.seo_og_image_id; products_rels
488,elizabeth-vanity-2-drawers-gray.webp,1,products_rels
472,elizabeth-vanity-4-drawers-chair-cream.webp,0,""
489,elizabeth-vanity-4-drawers-chair-gray.webp,1,products_rels
473,elizabeth-vanity-4-drawers-cream.webp,2,product_variants.image_id; products_rels
490,elizabeth-vanity-4-drawers-gray.webp,2,product_variants.image_id; products_rels
1011,elizabeth-vanity-chair-cream.webp,2,products.seo_og_image_id; products_rels
474,elizabeth-wall-shelf-cream.webp,3,product_variants.image_id; products.seo_og_image_id; products_rels
491,elizabeth-wall-shelf-gray.webp,2,product_variants.image_id; products_rels
475,elizabeth-wardrobe-2-doors-mdf-cream.webp,3,product_variants.image_id; products.seo_og_image_id; products_rels
492,elizabeth-wardrobe-2-doors-mdf-gray.webp,2,product_variants.image_id; products_rels
476,elizabeth-wardrobe-3-doors-mdf-cream.webp,2,product_variants.image_id; products_rels
493,elizabeth-wardrobe-3-doors-mdf-gray.webp,2,product_variants.image_id; products_rels
1101,factory-homepage-aboutus.jpg,1,home.about_background_id
337,fale-1.webp,0,""
93,fale.webp,0,""
62,file 5 kesho-1.webp,0,""
80,file 5 kesho-2.webp,0,""
94,file 5 kesho-3.webp,0,""
180,file 5 kesho-4.webp,0,""
43,file 5 kesho.webp,0,""
494,gandom-baby-bed-v2.webp,2,products.seo_og_image_id; products_rels
495,gandom-baby-bed.webp,1,products_rels
496,gandom-bookcase.webp,0,""
497,gandom-file-3-drawers.webp,3,product_variants.image_id; products.seo_og_image_id; products_rels
498,gandom-wall-shelf.webp,2,products.seo_og_image_id; products_rels
499,gandom-wardrobe-2-doors-mdf.webp,3,product_variants.image_id; products.seo_og_image_id; products_rels
1030,hero.jpg,0,""
1031,intro.jpg,1,designs.intro_media_id
500,iron-bookcase-accessory.webp,2,products.seo_og_image_id; products_rels
518,iron-bookcase-picture-v2.webp,0,""
519,iron-bookcase-picture-v3.webp,1,products_rels
520,iron-bookcase-picture.webp,1,products_rels
501,iron-bookcase.webp,1,products_rels
502,iron-collection.webp,0,""
521,iron-desk-pegboard-picture.webp,1,products_rels
503,iron-double-bed-160.webp,7,product_variants.image_id; products.seo_og_image_id; products_rels
522,iron-file-5-drawers-picture-v2.webp,1,products_rels
523,iron-file-5-drawers-picture.webp,1,products_rels
504,iron-file-5-drawers.webp,3,product_variants.image_id; products.seo_og_image_id; products_rels
524,iron-nightstand-picture-v2.webp,1,products_rels
525,iron-nightstand-picture-v3.webp,1,products_rels
526,iron-nightstand-picture-v4.webp,0,""
527,iron-nightstand-picture.webp,1,products_rels
505,iron-nightstand.webp,2,products.seo_og_image_id; products_rels
528,iron-scene-all-picture-v2.webp,1,designs_rels
529,iron-scene-all-picture.webp,0,""
530,iron-scene-half-2-picture-v2.webp,0,""
531,iron-scene-half-2-picture.webp,1,designs_rels
532,iron-scene-half-3-picture.webp,0,""
533,iron-scene-half-4-picture-v2.webp,0,""
534,iron-scene-half-4-picture.webp,1,designs_rels
535,iron-scene-half-5-picture-v2.webp,0,""
536,iron-scene-half-5-picture.webp,1,designs_rels
537,iron-scene-half-picture-v2.webp,0,""
538,iron-scene-half-picture.webp,1,designs_rels
506,iron-single-bed-100.webp,4,product_variants.image_id; products_rels
539,iron-single-bed-120-picture-v2.webp,2,products_rels
540,iron-single-bed-120-picture-v3.webp,2,products_rels
541,iron-single-bed-120-picture.webp,2,products_rels
